id_node	sensor	timestamp	valor_v
AQM60	PM10	2017-05-11 12:29:16	22037
AQM60	PM10	2017-05-11 12:31:16	24408
AQM60	PM10	2017-05-11 12:33:16	17003
AQM60	PM10	2017-05-11 12:35:16	23293
AQM60	PM10	2017-05-11 12:37:16	30982
AQM60	PM10	2017-05-11 12:39:16	34789
AQM60	PM10	2017-05-11 12:41:16	25727
AQM60	PM10	2017-05-11 12:43:16	26,76
AQM60	PM10	2017-05-11 12:45:16	28026
AQM60	PM10	2017-05-11 12:47:16	33327
AQM60	PM10	2017-05-11 12:49:16	26,32
AQM60	PM10	2017-05-11 12:51:16	20144
AQM60	PM10	2017-05-11 12:53:16	25913
AQM60	PM10	2017-05-11 12:55:16	25987
AQM60	PM10	2017-05-11 12:57:16	22393
AQM60	PM10	2017-05-11 12:59:16	18864
AQM60	PM10	2017-05-11 13:01:16	22393
AQM60	PM10	2017-05-11 13:03:16	18948
AQM60	PM10	2017-05-11 13:06:58	26614
AQM60	PM10	2017-05-11 13:08:58	33936
AQM60	PM10	2017-05-11 13:10:58	23409
AQM60	PM10	2017-05-11 13:12:58	26209
AQM60	PM10	2017-05-11 13:14:58	20755
AQM60	PM10	2017-05-11 13:16:58	22589
AQM60	PM10	2017-05-11 13:18:58	19899
AQM60	PM10	2017-05-11 13:20:58	21439
AQM60	PM10	2017-05-11 13:22:58	27198
AQM60	PM10	2017-05-11 13:24:58	22393
AQM60	PM10	2017-05-11 13:26:58	23293
AQM60	PM10	2017-05-11 13:28:58	34444
AQM60	PM10	2017-05-11 13:30:58	37965
AQM60	PM10	2017-05-11 13:32:58	35132
AQM60	PM10	2017-05-11 13:34:58	43792
AQM60	PM10	2017-05-11 13:36:58	29507
AQM60	PM10	2017-05-11 13:38:58	28489
AQM60	PM10	2017-05-11 13:40:58	28807
AQM60	PM10	2017-05-11 13:42:58	22,55
AQM60	PM10	2017-05-11 13:44:58	29018
AQM60	PM10	2017-05-11 13:46:58	30301
